task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s
R000038,A,1,S004,医疗:1|食品:1,2,11.0,0.04,3.002823048333129,2183.959400972985,0.332706,0.0,True,5826.4
R000039,A,1,S004,医疗:1|饮水:1,2,17.0,0.039,3.0986471482564,2183.959400972985,0.311412,0.0,True,5826.4
R000040,A,1,S005,卫生:1,1,6.0,0.035,2.023678708754835,1635.7581046684645,0.550294,0.0,False,inf
R000041,A,1,S005,食品:1,1,8.0,0.028,2.038049977348116,1635.7581046684645,0.5471,0.0,False,inf
R000042,A,1,S005,饮水:1,1,14.0,0.027,2.094018302339303,1635.7581046684645,0.534663,0.0,True,9729.4
R000043,A,1,S005,饮水:1|食品:1,2,22.0,0.055,2.2014564651560833,1695.7581046684645,0.510787,0.0,True,9669.4
R000044,A,1,S005,医疗:1,1,3.0,0.012,2.0064410909483095,1635.7581046684645,0.554124,0.0,True,9729.4
R000045,A,1,S005,医疗:1|卫生:1,2,9.0,0.047,2.0460424831546757,1695.7581046684645,0.545324,0.0,True,9669.4
R000046,A,1,S005,医疗:1|食品:1,2,11.0,0.04,2.0636187252482485,1695.7581046684645,0.541418,0.0,True,9669.4
R000047,A,1,S005,医疗:1|饮水:1,2,17.0,0.039,2.1295188155066476,1695.7581046684645,0.526774,0.0,True,9669.4
R000048,A,1,S006,卫生:1,1,6.0,0.035,1.2411219044028345,1252.6149834599576,0.724195,0.0,False,inf
R000049,A,1,S006,食品:1,1,8.0,0.028,1.250646292293427,1252.6149834599576,0.722079,0.0,False,inf
R000050,A,1,S006,饮水:1,1,14.0,0.027,1.2869317340707995,1252.6149834599576,0.714015,0.0,True,2724.9
R000051,A,1,S006,饮水:1|食品:1,2,22.0,0.055,1.354999454410149,1312.6149834599576,0.698889,0.0,True,2664.9
R000052,A,1,S006,医疗:1,1,3.0,0.012,1.2294267479818388,1252.6149834599576,0.726794,0.0,True,2724.9
R000053,A,1,S006,医疗:1|卫生:1,2,9.0,0.047,1.2558925819390496,1312.6149834599576,0.720913,0.0,True,2664.9
R000054,A,1,S006,医疗:1|食品:1,2,11.0,0.04,1.2673398458663825,1312.6149834599576,0.718369,0.0,True,2664.9
R000055,A,1,S006,医疗:1|饮水:1,2,17.0,0.039,1.3095840119305917,1312.6149834599576,0.708981,0.0,True,2664.9
R000056,A,1,S007,卫生:1,1,6.0,0.035,1.8056692577182183,1667.3175960060048,0.59874,0.0,False,inf
R000057,A,1,S007,食品:1,1,8.0,0.028,1.8195808525494075,1667.3175960060048,0.595649,0.0,False,inf
R000058,A,1,S007,饮水:1,1,14.0,0.027,1.8723077073056285,1667.3175960060048,0.583932,0.0,True,2518.7
R000059,A,1,S007,饮水:1|食品:1,2,22.0,0.055,1.9706696366234688,1727.3175960060048,0.562073,0.0,True,2458.7
R000060,A,1,S007,医疗:1,1,3.0,0.012,1.7884953435658324,1667.3175960060048,0.602557,0.0,True,2518.7
R000061,A,1,S007,医疗:1|卫生:1,2,9.0,0.047,1.827226616519499,1727.3175960060048,0.59395,0.0,True,2458.7
R000062,A,1,S007,医疗:1|食品:1,2,11.0,0.04,1.843878826796971,1727.3175960060048,0.590249,0.0,True,2458.7
R000063,A,1,S007,医疗:1|饮水:1,2,17.0,0.039,1.9050984660637973,1727.3175960060048,0.576645,0.0,True,2458.7
R000064,A,1,S008,卫生:1,1,6.0,0.035,3.052115105935034,2116.2040179476107,0.321752,0.0,False,inf
R000065,A,1,S008,食品:1,1,8.0,0.028,3.0736515722950584,2116.2040179476107,0.316966,0.0,False,inf
R000066,A,1,S008,饮水:1,1,14.0,0.027,3.1579220394720044,2116.2040179476107,0.29824,0.0,True,5891.7
R000067,A,1,S008,饮水:1|食品:1,2,22.0,0.055,3.320471468312056,2176.2040179476107,0.262117,0.0,True,5831.7
R000068,A,1,S008,医疗:1,1,3.0,0.012,3.02641678013471,2116.2040179476107,0.327463,0.0,True,5891.7
R000069,A,1,S008,医疗:1|卫生:1,2,9.0,0.047,3.085653920531505,2176.2040179476107,0.314299,0.0,True,5831.7
R000070,A,1,S008,医疗:1|食品:1,2,11.0,0.04,3.1120924140464856,2176.2040179476107,0.308424,0.0,True,5831.7
R000071,A,1,S008,医疗:1|饮水:1,2,17.0,0.039,3.2115535787540317,2176.2040179476107,0.286321,0.0,True,5831.7
R000072,A,1,S009,食品:1,1,8.0,0.028,2.164472663159292,1631.5344862389493,0.519006,0.0,False,inf
R000073,A,1,S009,饮水:1,1,14.0,0.027,2.223769974851195,1631.5344862389493,0.505829,0.0,True,9732.6
R000074,A,1,S009,饮水:1|食品:1,2,22.0,0.055,2.3382502154288844,1691.5344862389493,0.480389,0.0,True,9672.6
R000075,A,1,S009,医疗:1,1,3.0,0.012,2.1312822055029432,1631.5344862389493,0.526382,0.0,True,9732.6
R000076,A,1,S009,医疗:1|食品:1,2,11.0,0.04,2.1915142663338063,1691.5344862389493,0.512997,0.0,True,9672.6
R000077,A,1,S009,医疗:1|饮水:1,2,17.0,0.039,2.261531325774452,1691.5344862389493,0.497437,0.0,True,9672.6
R000078,A,1,S010,食品:1,1,8.0,0.028,1.86571458599424,1593.8524691732741,0.585397,0.0,False,inf
R000079,A,1,S010,饮水:1,1,14.0,0.027,1.919081914389043,1593.8524691732741,0.573537,0.0,True,2555.5
R000080,A,1,S010,饮水:1|食品:1,2,22.0,0.055,2.0198116904222125,1653.8524691732741,0.551153,0.0,True,2495.5
R000081,A,1,S010,医疗:1,1,3.0,0.012,1.8347888312684555,1593.8524691732741,0.592269,0.0,True,2555.5
R000082,A,1,S010,医疗:1|食品:1,2,11.0,0.04,1.8902213604031441,1653.8524691732741,0.579951,0.0,True,2495.5
R000083,A,1,S010,医疗:1|饮水:1,2,17.0,0.039,1.9525396814898754,1653.8524691732741,0.566102,0.0,True,2495.5
R000084,A,1,S011,食品:1,1,8.0,0.028,1.104775062284771,1163.5352135344808,0.754494,0.0,False,inf
R000085,A,1,S011,饮水:1,1,14.0,0.027,1.1359227466302664,1163.5352135344808,0.747573,0.0,True,9966.0
R000086,A,1,S011,饮水:1|食品:1,2,22.0,0.055,1.194888093078244,1223.5352135344808,0.734469,0.0,True,9906.0
R000087,A,1,S011,医疗:1,1,3.0,0.012,1.086805367412299,1163.5352135344808,0.758488,0.0,True,9966.0
R000088,A,1,S011,医疗:1|食品:1,2,11.0,0.04,1.1190655088410852,1223.5352135344808,0.751319,0.0,True,9906.0
R000089,A,1,S011,医疗:1|饮水:1,2,17.0,0.039,1.1554902930398883,1223.5352135344808,0.743224,0.0,True,9906.0
R000090,A,1,S012,食品:1,1,8.0,0.028,2.83314290926716,2050.4146828351036,0.370413,0.0,False,inf
R000091,A,1,S012,饮水:1,1,14.0,0.027,2.9114301427790448,2050.4146828351036,0.353016,0.0,True,2324.9
R000092,A,1,S012,饮水:1|食品:1,2,22.0,0.055,3.061601464969904,2110.4146828351036,0.319644,0.0,True,2264.9
R000093,A,1,S012,医疗:1,1,3.0,0.012,2.7888783720861117,2050.4146828351036,0.380249,0.0,True,2324.9
R000094,A,1,S012,医疗:1|食品:1,2,11.0,0.04,2.8689160516355905,2110.4146828351036,0.362463,0.0,True,2264.9
R000095,A,1,S012,医疗:1|饮水:1,2,17.0,0.039,2.961062090388955,2110.4146828351036,0.341986,0.0,True,2264.9
R000096,A,1,S013,食品:1,1,8.0,0.028,1.8710396210494764,1552.0233919046514,0.584213,0.0,False,inf
R000097,A,1,S013,饮水:1,1,14.0,0.027,1.9242610635843662,1552.0233919046514,0.572386,0.0,True,2576.5
R000098,A,1,S013,饮水:1|食品:1,2,22.0,0.055,2.0252312019390644,1612.0233919046514,0.549949,0.0,True,2516.5
R000099,A,1,S013,医疗:1,1,3.0,0.012,1.8404346471826698,1552.0233919046514,0.591015,0.0,True,2576.5
R000100,A,1,S013,医疗:1|食品:1,2,11.0,0.04,1.895441441300517,1612.0233919046514,0.578791,0.0,True,2516.5
R000101,A,1,S013,医疗:1|饮水:1,2,17.0,0.039,1.9577455011362477,1612.0233919046514,0.564945,0.0,True,2516.5
R000102,A,1,S014,食品:1,1,8.0,0.028,2.185397287318804,1928.9611053702408,0.514356,0.0,False,inf
R000103,A,1,S014,饮水:1,1,14.0,0.027,2.248452345106987,1928.9611053702408,0.500344,0.0,True,2388.0
R000104,A,1,S014,饮水:1|食品:1,2,22.0,0.055,2.366013438574972,1988.9611053702408,0.474219,0.0,True,2328.0
R000105,A,1,S014,医疗:1,1,3.0,0.012,2.148191516377425,1928.9611053702408,0.522624,0.0,True,2388.0
R000106,A,1,S014,医疗:1|食品:1,2,11.0,0.04,2.214459791976608,1988.9611053702408,0.507898,0.0,True,2328.0
R000107,A,1,S014,医疗:1|饮水:1,2,17.0,0.039,2.287650601258055,1988.9611053702408,0.491633,0.0,True,2328.0
R000108,A,1,S015,食品:1,1,8.0,0.028,2.3644554864474845,1910.2098469768198,0.474565,0.0,False,inf
R000109,A,1,S015,饮水:1,1,14.0,0.027,2.432955544300718,1910.2098469768198,0.459343,0.0,True,9601.5
R000110,A,1,S015,饮水:1|食品:1,2,22.0,0.055,2.5615407139168,1970.2098469768198,0.430769,0.0,True,9541.5
R000111,A,1,S015,医疗:1,1,3.0,0.012,2.324436471583647,1910.2098469768198,0.483459,0.0,True,6001.5
R000112,A,1,S015,医疗:1|食品:1,2,11.0,0.04,2.3959634179615277,1970.2098469768198,0.467564,0.0,True,5941.5
R000113,A,1,S015,医疗:1|饮水:1,2,17.0,0.039,2.475738504082244,1970.2098469768198,0.449836,0.0,True,5941.5
R000114,B,1,S001,卫生:1,1,6.0,0.035,0.9536714133213035,1090.3573074816584,0.761582,0.0,False,inf
R000115,B,1,S001,卫生:2,2,12.0,0.07,0.9927462429280283,1150.3573074816584,0.751813,0.0,False,inf
R000116,B,1,S001,食品:1,1,8.0,0.028,0.9647749218029644,1090.3573074816584,0.758806,0.0,False,inf
R000117,B,1,S001,食品:1|卫生:1,2,14.0,0.063,1.0098817313821373,1150.3573074816584,0.74753,0.0,False,inf
R000118,B,1,S001,食品:2,2,16.0,0.056,1.0294173470117374,1150.3573074816584,0.742646,0.0,False,inf
R000119,B,1,S001,饮水:1,1,14.0,0.027,1.0098817313821373,1090.3573074816584,0.74753,0.0,True,2801.7
R000120,B,1,S001,饮水:1|卫生:1,2,20.0,0.062,1.0770845709208954,1150.3573074816584,0.730729,0.0,True,2741.7
R000121,B,1,S001,饮水:1|食品:1,2,22.0,0.055,1.1061855138834067,1150.3573074816584,0.723454,0.0,True,2741.7
R000122,B,1,S001,饮水:2,2,28.0,0.054,1.2239597072836312,1150.3573074816584,0.69401,0.0,True,2741.7
R000123,B,1,S001,医疗:1,1,3.0,0.012,0.9405893653118222,1090.3573074816584,0.764853,0.0,True,2801.7
R000124,B,1,S001,医疗:1|卫生:1,2,9.0,0.047,0.9710308773692453,1150.3573074816584,0.757242,0.0,True,2741.7
R000125,B,1,S001,医疗:1|食品:1,2,11.0,0.04,0.98499963410779,1150.3573074816584,0.75375,0.0,True,2741.7
R000126,B,1,S001,医疗:1|食品:2,3,19.0,0.068,1.0639567879671474,1210.3573074816584,0.734011,0.0,True,2681.7
R000127,B,1,S001,医疗:1|饮水:1,2,17.0,0.039,1.0401830080296461,1150.3573074816584,0.739954,0.0,True,2741.7
R000128,B,1,S001,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.1583766842339946,1210.3573074816584,0.710406,0.0,True,2681.7
R000129,B,1,S001,医疗:2,2,6.0,0.024,0.9536714133213035,1150.3573074816584,0.761582,0.0,True,2741.7
R000130,B,1,S001,医疗:2|卫生:1,3,12.0,0.059000000000000004,0.9927462429280283,1210.3573074816584,0.751813,0.0,True,2681.7
R000131,B,1,S001,医疗:2|食品:1,3,14.0,0.052000000000000005,1.0098817313821373,1210.3573074816584,0.74753,0.0,True,2681.7
R000132,B,1,S001,医疗:2|饮水:1,3,20.0,0.051000000000000004,1.0770845709208954,1210.3573074816584,0.730729,0.0,True,2681.7
R000133,B,1,S002,卫生:1,1,6.0,0.035,2.23741364001433,1699.8886725284528,0.440647,0.0,False,inf
R000134,B,1,S002,食品:1,1,8.0,0.028,2.263064735098496,1699.8886725284528,0.434234,0.0,False,inf
R000135,B,1,S002,食品:1|卫生:1,2,14.0,0.063,2.368649062244219,1759.8886725284528,0.407838,0.0,False,inf
R000136,B,1,S002,食品:2,2,16.0,0.056,2.414765925213808,1759.8886725284528,0.396309,0.0,False,inf
R000137,B,1,S002,饮水:1,1,14.0,0.027,2.368649062244219,1699.8886725284528,0.407838,0.0,True,2498.1
R000138,B,1,S002,饮水:1|卫生:1,2,20.0,0.062,2.5278631894397154,1759.8886725284528,0.368034,0.0,True,2438.1
R000139,B,1,S002,饮水:1|食品:1,2,22.0,0.055,2.597196285968586,1759.8886725284528,0.350701,0.0,True,2438.1
R000140,B,1,S002,饮水:2,2,28.0,0.054,2.8791533493746737,1759.8886725284528,0.280212,0.0,True,2438.1
R000141,B,1,S002,医疗:1,1,3.0,0.012,2.2076096318361778,1699.8886725284528,0.448098,0.0,True,2498.1
R000142,B,1,S002,医疗:1|卫生:1,2,9.0,0.047,2.2775994664327692,1759.8886725284528,0.4306,0.0,True,2438.1
R000143,B,1,S002,医疗:1|食品:1,2,11.0,0.04,2.31020487373459,1759.8886725284528,0.422449,0.0,True,2438.1
R000144,B,1,S002,医疗:1|食品:2,3,19.0,0.068,2.4966496823506805,1819.8886725284528,0.375838,0.0,True,2378.1
R000145,B,1,S002,医疗:1|饮水:1,2,17.0,0.039,2.44024626994997,1759.8886725284528,0.389938,0.0,True,2438.1
R000146,B,1,S002,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.721922975511305,1819.8886725284528,0.319519,0.0,True,2378.1
R000147,B,1,S003,卫生:1,1,6.0,0.035,2.2875220919905983,1960.2414747964503,0.428119,0.0,False,inf
R000148,B,1,S003,食品:1,1,8.0,0.028,2.314518279263184,1960.2414747964503,0.42137,0.0,False,inf
R000149,B,1,S003,食品:1|卫生:1,2,14.0,0.063,2.4234670793332462,2020.2414747964503,0.394133,0.0,False,inf
R000150,B,1,S003,食品:2,2,16.0,0.056,2.4704495370400963,2020.2414747964503,0.382388,0.0,False,inf
R000151,B,1,S003,饮水:1,1,14.0,0.027,2.4234670793332462,1960.2414747964503,0.394133,0.0,True,5971.9
R000152,B,1,S003,饮水:1|卫生:1,2,20.0,0.062,2.584789173829935,2020.2414747964503,0.353803,0.0,True,5911.9
R000153,B,1,S003,饮水:1|食品:1,2,22.0,0.055,2.654443926315979,2020.2414747964503,0.336389,0.0,True,5911.9
R000154,B,1,S003,饮水:2,2,28.0,0.054,2.9356331829311175,2020.2414747964503,0.266092,0.0,True,5911.9
R000155,B,1,S003,医疗:1,1,3.0,0.012,2.2554972522689534,1960.2414747964503,0.436126,0.0,True,5971.9
R000156,B,1,S003,医疗:1|卫生:1,2,9.0,0.047,2.3296855118090862,2020.2414747964503,0.417579,0.0,True,5911.9
R000157,B,1,S003,医疗:1|食品:1,2,11.0,0.04,2.363473077027738,2020.2414747964503,0.409132,0.0,True,5911.9
R000158,B,1,S003,医疗:1|食品:2,3,19.0,0.068,2.553333936621157,2080.2414747964503,0.361667,0.0,True,5851.9
R000159,B,1,S003,医疗:1|饮水:1,2,17.0,0.039,2.496305935550539,2020.2414747964503,0.375924,0.0,True,5911.9
R000160,B,1,S003,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.7791674808241336,2080.2414747964503,0.305208,0.0,True,5851.9
R000161,B,1,S004,卫生:1,1,6.0,0.035,2.371654142473272,1865.7710095479192,0.407086,0.0,False,inf
R000162,B,1,S004,食品:1,1,8.0,0.028,2.39899460000606,1865.7710095479192,0.400251,0.0,False,inf
R000163,B,1,S004,食品:1|卫生:1,2,14.0,0.063,2.5108422104926804,1925.7710095479192,0.372289,0.0,False,inf
R000164,B,1,S004,饮水:1,1,14.0,0.027,2.5108422104926804,1865.7710095479192,0.372289,0.0,True,6015.5
R000165,B,1,S004,饮水:1|卫生:1,2,20.0,0.062,2.678558384203423,1925.7710095479192,0.33036,0.0,True,5955.5
R000166,B,1,S004,饮水:1|食品:1,2,22.0,0.055,2.751404337882099,1925.7710095479192,0.312149,0.0,True,5955.5
R000167,B,1,S004,饮水:2,2,28.0,0.054,3.0469873223143344,1925.7710095479192,0.238253,0.0,True,5955.5
R000168,B,1,S004,医疗:1,1,3.0,0.012,2.3396781276726504,1865.7710095479192,0.41508,0.0,True,6015.5
R000169,B,1,S004,医疗:1|卫生:1,2,9.0,0.047,2.4144453620331974,1925.7710095479192,0.396389,0.0,True,5955.5
R000170,B,1,S004,医疗:1|食品:1,2,11.0,0.04,2.449030437883633,1925.7710095479192,0.387742,0.0,True,5955.5
R000171,B,1,S004,医疗:1|饮水:1,2,17.0,0.039,2.586356071937873,1925.7710095479192,0.353411,0.0,True,5955.5
R000172,B,1,S004,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.8822655586744954,1985.7710095479192,0.279434,0.0,True,5895.5
R000173,B,1,S005,卫生:1,1,6.0,0.035,1.6307770391235858,1459.0243444118548,0.592306,0.0,False,inf
R000174,B,1,S005,食品:1,1,8.0,0.028,1.6495943457631383,1459.0243444118548,0.587601,0.0,False,inf
R000175,B,1,S005,食品:1|卫生:1,2,14.0,0.063,1.7264627652277489,1519.024344411855,0.568384,0.0,False,inf
R000176,B,1,S005,饮水:1,1,14.0,0.027,1.7264627652277489,1459.0243444118548,0.568384,0.0,True,9817.7
R000177,B,1,S005,饮水:1|卫生:1,2,20.0,0.062,1.8415740398580562,1519.024344411855,0.539606,0.0,True,9757.7
R000178,B,1,S005,饮水:1|食品:1,2,22.0,0.055,1.8915405294713898,1519.024344411855,0.527115,0.0,True,9757.7
R000179,B,1,S005,饮水:2,2,28.0,0.054,2.0941785211089887,1519.024344411855,0.476455,0.0,True,9757.7
R000180,B,1,S005,医疗:1,1,3.0,0.012,1.6087354449980982,1459.0243444118548,0.597816,0.0,True,9817.7
R000181,B,1,S005,医疗:1|卫生:1,2,9.0,0.047,1.660221800349294,1519.024344411855,0.584945,0.0,True,9757.7
R000182,B,1,S005,医疗:1|食品:1,2,11.0,0.04,1.683998155030607,1519.024344411855,0.579,0.0,True,9757.7
R000183,B,1,S005,医疗:1|饮水:1,2,17.0,0.039,1.7783066572354151,1519.024344411855,0.555423,0.0,True,9757.7
R000184,B,1,S005,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.9812705049071881,1579.024344411855,0.504682,0.0,True,9697.7
R000185,B,1,S006,卫生:1,1,6.0,0.035,1.0036601089341077,1146.5806863122368,0.749085,0.0,False,inf
R000186,B,1,S006,食品:1,1,8.0,0.028,1.0158519697435353,1146.5806863122368,0.746037,0.0,False,inf
R000187,B,1,S006,食品:1|卫生:1,2,14.0,0.063,1.0646767635077197,1206.5806863122368,0.733831,0.0,False,inf
R000188,B,1,S006,饮水:1,1,14.0,0.027,1.0646767635077197,1146.5806863122368,0.733831,0.0,True,2777.9
R000189,B,1,S006,饮水:1|卫生:1,2,20.0,0.062,1.1364459809209513,1206.5806863122368,0.715889,0.0,True,2717.9
R000190,B,1,S006,饮水:1|食品:1,2,22.0,0.055,1.1673263012445938,1206.5806863122368,0.708168,0.0,True,2717.9
R000191,B,1,S006,饮水:2,2,28.0,0.054,1.2916085976872098,1206.5806863122368,0.677098,0.0,True,2717.9
R000192,B,1,S006,医疗:1,1,3.0,0.012,0.9890827286994173,1146.5806863122368,0.752729,0.0,True,2777.9
R000193,B,1,S006,医疗:1|卫生:1,2,9.0,0.047,1.0226791398132435,1206.5806863122368,0.74433,0.0,True,2717.9
R000194,B,1,S006,医疗:1|食品:1,2,11.0,0.04,1.0378462622414266,1206.5806863122368,0.740538,0.0,True,2717.9
R000195,B,1,S006,医疗:1|饮水:1,2,17.0,0.039,1.097134517615153,1206.5806863122368,0.725716,0.0,True,2717.9
R000196,B,1,S006,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.2225144279879572,1266.5806863122368,0.694371,0.0,True,2657.9
R000197,B,1,S007,卫生:1,1,6.0,0.035,1.4646704529064232,1516.1902081524602,0.633832,0.0,False,inf
R000198,B,1,S007,食品:1,1,8.0,0.028,1.4823839139755906,1516.1902081524602,0.629404,0.0,False,inf
R000199,B,1,S007,食品:1|卫生:1,2,14.0,0.063,1.5529827173571036,1576.1902081524602,0.611754,0.0,False,inf
R000200,B,1,S007,饮水:1,1,14.0,0.027,1.5529827173571036,1516.1902081524602,0.611754,0.0,True,2594.3
R000201,B,1,S007,饮水:1|卫生:1,2,20.0,0.062,1.656283494582559,1576.1902081524602,0.585929,0.0,True,2534.3
R000202,B,1,S007,饮水:1|食品:1,2,22.0,0.055,1.7006330361027084,1576.1902081524602,0.574842,0.0,True,2534.3
R000203,B,1,S007,饮水:2,2,28.0,0.054,1.878779072601222,1576.1902081524602,0.530305,0.0,True,2534.3
R000204,B,1,S007,医疗:1,1,3.0,0.012,1.4433885947407328,1516.1902081524602,0.639153,0.0,True,2594.3
R000205,B,1,S007,医疗:1|卫生:1,2,9.0,0.047,1.4922828576755198,1576.1902081524602,0.626929,0.0,True,2534.3
R000206,B,1,S007,医疗:1|食品:1,2,11.0,0.04,1.5142368666496449,1576.1902081524602,0.621441,0.0,True,2534.3
R000207,B,1,S007,医疗:1|饮水:1,2,17.0,0.039,1.5997489166267655,1576.1902081524602,0.600063,0.0,True,2534.3
R000208,B,1,S007,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.7797961289606792,1636.1902081524602,0.555051,0.0,True,2474.3
R000209,B,1,S008,卫生:1,1,6.0,0.035,2.4541538694804026,1845.888618492203,0.386462,0.0,False,inf
R000210,B,1,S008,食品:1,1,8.0,0.028,2.482490579035201,1845.888618492203,0.379377,0.0,False,inf
R000211,B,1,S008,食品:1|卫生:1,2,14.0,0.063,2.598727872346759,1905.888618492203,0.350318,0.0,False,inf
R000212,B,1,S008,饮水:1,1,14.0,0.027,2.598727872346759,1845.888618492203,0.350318,0.0,True,6026.8
R000213,B,1,S008,饮水:1|卫生:1,2,20.0,0.062,2.7734578535037,1905.888618492203,0.306636,0.0,True,5966.8
R000214,B,1,S008,饮水:1|食品:1,2,22.0,0.055,2.8494374346074407,1905.888618492203,0.287641,0.0,True,5966.8
R000215,B,1,S008,饮水:2,2,28.0,0.054,3.1580400807067988,1905.888618492203,0.21049,0.0,True,5966.8
R000216,B,1,S008,医疗:1,1,3.0,0.012,2.42110783164278,1845.888618492203,0.394723,0.0,True,6026.8
R000217,B,1,S008,医疗:1|卫生:1,2,9.0,0.047,2.4985230980260456,1905.888618492203,0.375369,0.0,True,5966.8
R000218,B,1,S008,医疗:1|食品:1,2,11.0,0.04,2.5344447027948696,1905.888618492203,0.366389,0.0,True,5966.8
R000219,B,1,S008,医疗:1|饮水:1,2,17.0,0.039,2.6773567125024744,1905.888618492203,0.330661,0.0,True,5966.8
