box_id,service,cargo_type,task_id,delivery_time_s,deadline_s,delay_s,objective
B024,S003,医疗物资,R055555,2030.2,7200.0,0.0,N
B029,S003,应急食品,R055555,2030.2,10800.0,0.0,N
B030,S003,应急食品,R055555,2030.2,10800.0,0.0,N
B031,S003,生活卫生用品,R055555,2030.2,14400.0,0.0,N
B050,S007,医疗物资,R055555,1334.7,3600.0,0.0,N
B051,S007,饮用水,R055555,1334.7,3600.0,0.0,N
B052,S007,饮用水,R055555,1334.7,3600.0,0.0,N
B053,S007,应急食品,R055555,1334.7,7200.0,0.0,N
B054,S007,生活卫生用品,R055555,1334.7,10800.0,0.0,N
B032,S004,医疗物资,R057817,4782.0,7200.0,0.0,N
B036,S004,应急食品,R057817,4782.0,10800.0,0.0,N
B038,S005,医疗物资,R057817,4183.4,10800.0,0.0,N
B039,S005,饮用水,R057817,4183.4,10800.0,0.0,N
B040,S005,饮用水,R057817,4183.4,10800.0,0.0,N
B041,S005,饮用水,R057817,4183.4,10800.0,0.0,N
B042,S005,应急食品,R057817,4183.4,14400.0,0.0,N
B043,S005,生活卫生用品,R057817,4183.4,18000.0,0.0,N
B044,S006,医疗物资,R069014,19756.4,3600.0,16156.4,N
B045,S006,饮用水,R069014,19756.4,3600.0,16156.4,N
B046,S006,饮用水,R069014,19756.4,3600.0,16156.4,N
B047,S006,饮用水,R069014,19756.4,3600.0,16156.4,N
B048,S006,应急食品,R069014,19756.4,7200.0,12556.4,N
B078,S015,医疗物资,R069014,20459.0,7200.0,13259.0,N
B079,S015,饮用水,R069014,20459.0,10800.0,9659.0,N
B080,S015,应急食品,R069014,20459.0,14400.0,6059.0,N
B055,S008,医疗物资,R071208,17856.0,7200.0,10656.0,N
B056,S008,饮用水,R071208,17856.0,7200.0,10656.0,N
B057,S008,饮用水,R071208,17856.0,7200.0,10656.0,N
B058,S008,应急食品,R071208,17856.0,10800.0,7056.0,N
B059,S008,生活卫生用品,R071208,17856.0,14400.0,3456.0,N
B066,S011,医疗物资,R071208,17060.8,10800.0,6260.8,N
B067,S011,饮用水,R071208,17060.8,10800.0,6260.8,N
B068,S011,应急食品,R071208,17060.8,14400.0,2660.8,N
B060,S009,医疗物资,R071674,23080.4,10800.0,12280.4,N
B061,S009,饮用水,R071674,23080.4,10800.0,12280.4,N
B062,S009,应急食品,R071674,23080.4,14400.0,8680.4,N
B069,S012,医疗物资,R071674,22543.8,3600.0,18943.8,N
B070,S012,饮用水,R071674,22543.8,3600.0,18943.8,N
B071,S012,应急食品,R071674,22543.8,7200.0,15343.8,N
B063,S010,医疗物资,R072344,12432.8,3600.0,8832.8,N
B064,S010,饮用水,R072344,12432.8,3600.0,8832.8,N
B065,S010,应急食品,R072344,12432.8,7200.0,5232.8,N
B075,S014,医疗物资,R072344,11796.8,3600.0,8196.8,N
B076,S014,饮用水,R072344,11796.8,3600.0,8196.8,N
B077,S014,应急食品,R072344,11796.8,7200.0,4596.8,N
B008,S001,饮用水,R073074,855.7,3600.0,0.0,N
B009,S001,饮用水,R073075,855.7,3600.0,0.0,N
B010,S001,饮用水,R073076,855.7,3600.0,0.0,N
B016,S002,医疗物资,R000144,4949.1,3600.0,1349.1,E
B021,S002,应急食品,R000144,4949.1,7200.0,0.0,E
B022,S002,应急食品,R000144,4949.1,7200.0,0.0,E
B024,S003,医疗物资,R000158,1199.0,7200.0,0.0,E
B029,S003,应急食品,R000158,1199.0,10800.0,0.0,E
B030,S003,应急食品,R000158,1199.0,10800.0,0.0,E
B060,S009,医疗物资,R000227,3075.1,10800.0,0.0,E
B061,S009,饮用水,R000227,3075.1,10800.0,0.0,E
B062,S009,应急食品,R000227,3075.1,14400.0,0.0,E
B063,S010,医疗物资,R000234,8573.9,3600.0,4973.9,E
B064,S010,饮用水,R000234,8573.9,3600.0,4973.9,E
B065,S010,应急食品,R000234,8573.9,7200.0,1373.9,E
B066,S011,医疗物资,R000241,9938.3,10800.0,0.0,E
B067,S011,饮用水,R000241,9938.3,10800.0,0.0,E
B068,S011,应急食品,R000241,9938.3,14400.0,0.0,E
B069,S012,医疗物资,R000248,6863.8,3600.0,3263.8,E
B070,S012,饮用水,R000248,6863.8,3600.0,3263.8,E
B071,S012,应急食品,R000248,6863.8,7200.0,0.0,E
B072,S013,医疗物资,R000255,6205.4,3600.0,2605.4,E
B073,S013,饮用水,R000255,6205.4,3600.0,2605.4,E
B074,S013,应急食品,R000255,6205.4,7200.0,0.0,E
B075,S014,医疗物资,R000262,4662.5,3600.0,1062.5,E
B076,S014,饮用水,R000262,4662.5,3600.0,1062.5,E
B077,S014,应急食品,R000262,4662.5,7200.0,0.0,E
B003,S001,饮用水,R000326,8341.9,3600.0,4741.9,E
B004,S001,饮用水,R000326,8341.9,3600.0,4741.9,E
B005,S001,饮用水,R000326,8341.9,3600.0,4741.9,E
B006,S001,饮用水,R000326,8341.9,3600.0,4741.9,E
B007,S001,饮用水,R000326,8341.9,3600.0,4741.9,E
B025,S003,饮用水,R000516,11458.0,7200.0,4258.0,E
B026,S003,饮用水,R000516,11458.0,7200.0,4258.0,E
B027,S003,饮用水,R000516,11458.0,7200.0,4258.0,E
B028,S003,饮用水,R000516,11458.0,7200.0,4258.0,E
B031,S003,生活卫生用品,R000516,11458.0,14400.0,0.0,E
B044,S006,医疗物资,R000637,13445.4,3600.0,9845.4,E
B045,S006,饮用水,R000637,13445.4,3600.0,9845.4,E
B046,S006,饮用水,R000637,13445.4,3600.0,9845.4,E
B047,S006,饮用水,R000637,13445.4,3600.0,9845.4,E
B048,S006,应急食品,R000637,13445.4,7200.0,6245.4,E
B049,S006,生活卫生用品,R000637,13445.4,10800.0,2645.4,E
B001,S001,医疗物资,R010788,6141.7,3600.0,2541.7,E
B002,S001,医疗物资,R010788,6141.7,3600.0,2541.7,E
B017,S002,饮用水,R010788,6865.9,3600.0,3265.9,E
B018,S002,饮用水,R010788,6865.9,3600.0,3265.9,E
B019,S002,饮用水,R010788,6865.9,3600.0,3265.9,E
B020,S002,饮用水,R010788,6865.9,3600.0,3265.9,E
B023,S002,生活卫生用品,R010788,6865.9,10800.0,0.0,E
B011,S001,应急食品,R018936,6203.7,7200.0,0.0,E
B012,S001,应急食品,R018936,6203.7,7200.0,0.0,E
B013,S001,应急食品,R018936,6203.7,7200.0,0.0,E
B014,S001,生活卫生用品,R018936,6203.7,10800.0,0.0,E
B015,S001,生活卫生用品,R018936,6203.7,10800.0,0.0,E
B039,S005,饮用水,R018936,6771.2,10800.0,0.0,E
B040,S005,饮用水,R018936,6771.2,10800.0,0.0,E
B041,S005,饮用水,R018936,6771.2,10800.0,0.0,E
B032,S004,医疗物资,R058194,1522.2,7200.0,0.0,E
B033,S004,饮用水,R058194,1522.2,7200.0,0.0,E
B034,S004,饮用水,R058194,1522.2,7200.0,0.0,E
B035,S004,饮用水,R058194,1522.2,7200.0,0.0,E
B036,S004,应急食品,R058194,1522.2,10800.0,0.0,E
B037,S004,生活卫生用品,R058194,1522.2,14400.0,0.0,E
B038,S005,医疗物资,R058194,2066.1,10800.0,0.0,E
B042,S005,应急食品,R062263,8739.2,14400.0,0.0,E
B043,S005,生活卫生用品,R062263,8739.2,18000.0,0.0,E
B055,S008,医疗物资,R062263,9357.4,7200.0,2157.4,E
B056,S008,饮用水,R062263,9357.4,7200.0,2157.4,E
B057,S008,饮用水,R062263,9357.4,7200.0,2157.4,E
B058,S008,应急食品,R062263,9357.4,10800.0,0.0,E
B059,S008,生活卫生用品,R062263,9357.4,14400.0,0.0,E
B050,S007,医疗物资,R070770,3816.8,3600.0,216.8,E
B051,S007,饮用水,R070770,3816.8,3600.0,216.8,E
B052,S007,饮用水,R070770,3816.8,3600.0,216.8,E
B053,S007,应急食品,R070770,3816.8,7200.0,0.0,E
B054,S007,生活卫生用品,R070770,3816.8,10800.0,0.0,E
B078,S015,医疗物资,R070770,4314.3,7200.0,0.0,E
B079,S015,饮用水,R070770,4314.3,10800.0,0.0,E
B080,S015,应急食品,R070770,4314.3,14400.0,0.0,E
B008,S001,饮用水,R073074,855.7,3600.0,0.0,E
B009,S001,饮用水,R073075,855.7,3600.0,0.0,E
B010,S001,饮用水,R073076,855.7,3600.0,0.0,E
B001,S001,医疗物资,R000438,21225.4,3600.0,17625.4,T
B002,S001,医疗物资,R000438,21225.4,3600.0,17625.4,T
B003,S001,饮用水,R000438,21225.4,3600.0,17625.4,T
B004,S001,饮用水,R000438,21225.4,3600.0,17625.4,T
B005,S001,饮用水,R000438,21225.4,3600.0,17625.4,T
B006,S001,饮用水,R000438,21225.4,3600.0,17625.4,T
B007,S001,饮用水,R000438,21225.4,3600.0,17625.4,T
B024,S003,医疗物资,R000543,9266.3,7200.0,2066.3,T
B025,S003,饮用水,R000543,9266.3,7200.0,2066.3,T
B026,S003,饮用水,R000543,9266.3,7200.0,2066.3,T
B027,S003,饮用水,R000543,9266.3,7200.0,2066.3,T
B028,S003,饮用水,R000543,9266.3,7200.0,2066.3,T
B031,S003,生活卫生用品,R000543,9266.3,14400.0,0.0,T
B032,S004,医疗物资,R000575,11573.7,7200.0,4373.7,T
B033,S004,饮用水,R000575,11573.7,7200.0,4373.7,T
B034,S004,饮用水,R000575,11573.7,7200.0,4373.7,T
B035,S004,饮用水,R000575,11573.7,7200.0,4373.7,T
B036,S004,应急食品,R000575,11573.7,10800.0,773.7,T
B037,S004,生活卫生用品,R000575,11573.7,14400.0,0.0,T
B011,S001,应急食品,R007514,12629.4,7200.0,5429.4,T
B012,S001,应急食品,R007514,12629.4,7200.0,5429.4,T
B013,S001,应急食品,R007514,12629.4,7200.0,5429.4,T
B014,S001,生活卫生用品,R007514,12629.4,10800.0,1829.4,T
B015,S001,生活卫生用品,R007514,12629.4,10800.0,1829.4,T
B021,S002,应急食品,R007514,11872.8,7200.0,4672.8,T
B022,S002,应急食品,R007514,11872.8,7200.0,4672.8,T
B023,S002,生活卫生用品,R007514,11872.8,10800.0,1072.8,T
B016,S002,医疗物资,R051122,6906.4,3600.0,3306.4,T
B017,S002,饮用水,R051122,6906.4,3600.0,3306.4,T
B018,S002,饮用水,R051122,6906.4,3600.0,3306.4,T
B019,S002,饮用水,R051122,6906.4,3600.0,3306.4,T
B020,S002,饮用水,R051122,6906.4,3600.0,3306.4,T
B062,S009,应急食品,R051122,7266.7,14400.0,0.0,T
B029,S003,应急食品,R053046,2123.9,10800.0,0.0,T
B030,S003,应急食品,R053046,2123.9,10800.0,0.0,T
B044,S006,医疗物资,R053046,1232.2,3600.0,0.0,T
B045,S006,饮用水,R053046,1232.2,3600.0,0.0,T
B046,S006,饮用水,R053046,1232.2,3600.0,0.0,T
B047,S006,饮用水,R053046,1232.2,3600.0,0.0,T
B048,S006,应急食品,R053046,1232.2,7200.0,0.0,T
B049,S006,生活卫生用品,R053046,1232.2,10800.0,0.0,T
B038,S005,医疗物资,R063414,16733.2,10800.0,5933.2,T
B039,S005,饮用水,R063414,16733.2,10800.0,5933.2,T
B040,S005,饮用水,R063414,16733.2,10800.0,5933.2,T
B041,S005,饮用水,R063414,16733.2,10800.0,5933.2,T
B042,S005,应急食品,R063414,16733.2,14400.0,2333.2,T
B043,S005,生活卫生用品,R063414,16733.2,18000.0,0.0,T
B060,S009,医疗物资,R063414,17184.1,10800.0,6384.1,T
B061,S009,饮用水,R063414,17184.1,10800.0,6384.1,T
B050,S007,医疗物资,R070770,14222.9,3600.0,10622.9,T
B051,S007,饮用水,R070770,14222.9,3600.0,10622.9,T
B052,S007,饮用水,R070770,14222.9,3600.0,10622.9,T
B053,S007,应急食品,R070770,14222.9,7200.0,7022.9,T
B054,S007,生活卫生用品,R070770,14222.9,10800.0,3422.9,T
B078,S015,医疗物资,R070770,14720.4,7200.0,7520.4,T
B079,S015,饮用水,R070770,14720.4,10800.0,3920.4,T
B080,S015,应急食品,R070770,14720.4,14400.0,320.4,T
B055,S008,医疗物资,R071208,9693.6,7200.0,2493.6,T
B056,S008,饮用水,R071208,9693.6,7200.0,2493.6,T
B057,S008,饮用水,R071208,9693.6,7200.0,2493.6,T
B058,S008,应急食品,R071208,9693.6,10800.0,0.0,T
B059,S008,生活卫生用品,R071208,9693.6,14400.0,0.0,T
B066,S011,医疗物资,R071208,8898.4,10800.0,0.0,T
B067,S011,饮用水,R071208,8898.4,10800.0,0.0,T
B068,S011,应急食品,R071208,8898.4,14400.0,0.0,T
B063,S010,医疗物资,R072343,18915.4,3600.0,15315.4,T
B064,S010,饮用水,R072343,18915.4,3600.0,15315.4,T
B065,S010,应急食品,R072343,18915.4,7200.0,11715.4,T
B075,S014,医疗物资,R072343,19434.6,3600.0,15834.6,T
B076,S014,饮用水,R072343,19434.6,3600.0,15834.6,T
B077,S014,应急食品,R072343,19434.6,7200.0,12234.6,T
B069,S012,医疗物资,R072839,4349.2,3600.0,749.2,T
B070,S012,饮用水,R072839,4349.2,3600.0,749.2,T
B071,S012,应急食品,R072839,4349.2,7200.0,0.0,T
B072,S013,医疗物资,R072839,4920.2,3600.0,1320.2,T
B073,S013,饮用水,R072839,4920.2,3600.0,1320.2,T
B074,S013,应急食品,R072839,4920.2,7200.0,0.0,T
B008,S001,饮用水,R073074,855.7,3600.0,0.0,T
B009,S001,饮用水,R073075,855.7,3600.0,0.0,T
B010,S001,饮用水,R073076,855.7,3600.0,0.0,T
