box_id,service,cargo_type,task_id,delivery_time_s,deadline_s,delay_s,objective
B024,S003,医疗物资,R055555,17090.5,7200.0,9890.5,N
B029,S003,应急食品,R055555,17090.5,10800.0,6290.5,N
B030,S003,应急食品,R055555,17090.5,10800.0,6290.5,N
B031,S003,生活卫生用品,R055555,17090.5,14400.0,2690.5,N
B050,S007,医疗物资,R055555,16395.0,3600.0,12795.0,N
B051,S007,饮用水,R055555,16395.0,3600.0,12795.0,N
B052,S007,饮用水,R055555,16395.0,3600.0,12795.0,N
B053,S007,应急食品,R055555,16395.0,7200.0,9195.0,N
B054,S007,生活卫生用品,R055555,16395.0,10800.0,5595.0,N
B032,S004,医疗物资,R057817,19842.3,7200.0,12642.3,N
B036,S004,应急食品,R057817,19842.3,10800.0,9042.3,N
B038,S005,医疗物资,R057817,19243.7,10800.0,8443.7,N
B039,S005,饮用水,R057817,19243.7,10800.0,8443.7,N
B040,S005,饮用水,R057817,19243.7,10800.0,8443.7,N
B041,S005,饮用水,R057817,19243.7,10800.0,8443.7,N
B042,S005,应急食品,R057817,19243.7,14400.0,4843.7,N
B043,S005,生活卫生用品,R057817,19243.7,18000.0,1243.7,N
B044,S006,医疗物资,R069014,6332.6,3600.0,2732.6,N
B045,S006,饮用水,R069014,6332.6,3600.0,2732.6,N
B046,S006,饮用水,R069014,6332.6,3600.0,2732.6,N
B047,S006,饮用水,R069014,6332.6,3600.0,2732.6,N
B048,S006,应急食品,R069014,6332.6,7200.0,0.0,N
B078,S015,医疗物资,R069014,7035.2,7200.0,0.0,N
B079,S015,饮用水,R069014,7035.2,10800.0,0.0,N
B080,S015,应急食品,R069014,7035.2,14400.0,0.0,N
B055,S008,医疗物资,R071208,22422.1,7200.0,15222.1,N
B056,S008,饮用水,R071208,22422.1,7200.0,15222.1,N
B057,S008,饮用水,R071208,22422.1,7200.0,15222.1,N
B058,S008,应急食品,R071208,22422.1,10800.0,11622.1,N
B059,S008,生活卫生用品,R071208,22422.1,14400.0,8022.1,N
B066,S011,医疗物资,R071208,21626.9,10800.0,10826.9,N
B067,S011,饮用水,R071208,21626.9,10800.0,10826.9,N
B068,S011,应急食品,R071208,21626.9,14400.0,7226.9,N
B060,S009,医疗物资,R071674,4599.2,10800.0,0.0,N
B061,S009,饮用水,R071674,4599.2,10800.0,0.0,N
B062,S009,应急食品,R071674,4599.2,14400.0,0.0,N
B069,S012,医疗物资,R071674,4062.6,3600.0,462.6,N
B070,S012,饮用水,R071674,4062.6,3600.0,462.6,N
B071,S012,应急食品,R071674,4062.6,7200.0,0.0,N
B063,S010,医疗物资,R072344,11957.2,3600.0,8357.2,N
B064,S010,饮用水,R072344,11957.2,3600.0,8357.2,N
B065,S010,应急食品,R072344,11957.2,7200.0,4757.2,N
B075,S014,医疗物资,R072344,11321.2,3600.0,7721.2,N
B076,S014,饮用水,R072344,11321.2,3600.0,7721.2,N
B077,S014,应急食品,R072344,11321.2,7200.0,4121.2,N
B008,S001,饮用水,R073074,855.7,3600.0,0.0,N
B009,S001,饮用水,R073075,855.7,3600.0,0.0,N
B010,S001,饮用水,R073076,855.7,3600.0,0.0,N
B016,S002,医疗物资,R000144,1249.7,3600.0,0.0,E
B021,S002,应急食品,R000144,1249.7,7200.0,0.0,E
B022,S002,应急食品,R000144,1249.7,7200.0,0.0,E
B024,S003,医疗物资,R000158,8379.9,7200.0,1179.9,E
B029,S003,应急食品,R000158,8379.9,10800.0,0.0,E
B030,S003,应急食品,R000158,8379.9,10800.0,0.0,E
B060,S009,医疗物资,R000227,6074.6,10800.0,0.0,E
B061,S009,饮用水,R000227,6074.6,10800.0,0.0,E
B062,S009,应急食品,R000227,6074.6,14400.0,0.0,E
B063,S010,医疗物资,R000234,4464.1,3600.0,864.1,E
B064,S010,饮用水,R000234,4464.1,3600.0,864.1,E
B065,S010,应急食品,R000234,4464.1,7200.0,0.0,E
B066,S011,医疗物资,R000241,10009.9,10800.0,0.0,E
B067,S011,饮用水,R000241,10009.9,10800.0,0.0,E
B068,S011,应急食品,R000241,10009.9,14400.0,0.0,E
B069,S012,医疗物资,R000248,4928.6,3600.0,1328.6,E
B070,S012,饮用水,R000248,4928.6,3600.0,1328.6,E
B071,S012,应急食品,R000248,4928.6,7200.0,0.0,E
B072,S013,医疗物资,R000255,2961.4,3600.0,0.0,E
B073,S013,饮用水,R000255,2961.4,3600.0,0.0,E
B074,S013,应急食品,R000255,2961.4,7200.0,0.0,E
B075,S014,医疗物资,R000262,6680.6,3600.0,3080.6,E
B076,S014,饮用水,R000262,6680.6,3600.0,3080.6,E
B077,S014,应急食品,R000262,6680.6,7200.0,0.0,E
B003,S001,饮用水,R000326,3634.9,3600.0,34.9,E
B004,S001,饮用水,R000326,3634.9,3600.0,34.9,E
B005,S001,饮用水,R000326,3634.9,3600.0,34.9,E
B006,S001,饮用水,R000326,3634.9,3600.0,34.9,E
B007,S001,饮用水,R000326,3634.9,3600.0,34.9,E
B025,S003,饮用水,R000516,7806.5,7200.0,606.5,E
B026,S003,饮用水,R000516,7806.5,7200.0,606.5,E
B027,S003,饮用水,R000516,7806.5,7200.0,606.5,E
B028,S003,饮用水,R000516,7806.5,7200.0,606.5,E
B031,S003,生活卫生用品,R000516,7806.5,14400.0,0.0,E
B044,S006,医疗物资,R000637,8678.9,3600.0,5078.9,E
B045,S006,饮用水,R000637,8678.9,3600.0,5078.9,E
B046,S006,饮用水,R000637,8678.9,3600.0,5078.9,E
B047,S006,饮用水,R000637,8678.9,3600.0,5078.9,E
B048,S006,应急食品,R000637,8678.9,7200.0,1478.9,E
B049,S006,生活卫生用品,R000637,8678.9,10800.0,0.0,E
B001,S001,医疗物资,R010788,1076.7,3600.0,0.0,E
B002,S001,医疗物资,R010788,1076.7,3600.0,0.0,E
B017,S002,饮用水,R010788,1800.9,3600.0,0.0,E
B018,S002,饮用水,R010788,1800.9,3600.0,0.0,E
B019,S002,饮用水,R010788,1800.9,3600.0,0.0,E
B020,S002,饮用水,R010788,1800.9,3600.0,0.0,E
B023,S002,生活卫生用品,R010788,1800.9,10800.0,0.0,E
B011,S001,应急食品,R018936,12720.6,7200.0,5520.6,E
B012,S001,应急食品,R018936,12720.6,7200.0,5520.6,E
B013,S001,应急食品,R018936,12720.6,7200.0,5520.6,E
B014,S001,生活卫生用品,R018936,12720.6,10800.0,1920.6,E
B015,S001,生活卫生用品,R018936,12720.6,10800.0,1920.6,E
B039,S005,饮用水,R018936,13288.1,10800.0,2488.1,E
B040,S005,饮用水,R018936,13288.1,10800.0,2488.1,E
B041,S005,饮用水,R018936,13288.1,10800.0,2488.1,E
B032,S004,医疗物资,R058194,10516.0,7200.0,3316.0,E
B033,S004,饮用水,R058194,10516.0,7200.0,3316.0,E
B034,S004,饮用水,R058194,10516.0,7200.0,3316.0,E
B035,S004,饮用水,R058194,10516.0,7200.0,3316.0,E
B036,S004,应急食品,R058194,10516.0,10800.0,0.0,E
B037,S004,生活卫生用品,R058194,10516.0,14400.0,0.0,E
B038,S005,医疗物资,R058194,11059.9,10800.0,259.9,E
B042,S005,应急食品,R062263,5087.7,14400.0,0.0,E
B043,S005,生活卫生用品,R062263,5087.7,18000.0,0.0,E
B055,S008,医疗物资,R062263,5705.9,7200.0,0.0,E
B056,S008,饮用水,R062263,5705.9,7200.0,0.0,E
B057,S008,饮用水,R062263,5705.9,7200.0,0.0,E
B058,S008,应急食品,R062263,5705.9,10800.0,0.0,E
B059,S008,生活卫生用品,R062263,5705.9,14400.0,0.0,E
B050,S007,医疗物资,R070770,6334.5,3600.0,2734.5,E
B051,S007,饮用水,R070770,6334.5,3600.0,2734.5,E
B052,S007,饮用水,R070770,6334.5,3600.0,2734.5,E
B053,S007,应急食品,R070770,6334.5,7200.0,0.0,E
B054,S007,生活卫生用品,R070770,6334.5,10800.0,0.0,E
B078,S015,医疗物资,R070770,6832.0,7200.0,0.0,E
B079,S015,饮用水,R070770,6832.0,10800.0,0.0,E
B080,S015,应急食品,R070770,6832.0,14400.0,0.0,E
B008,S001,饮用水,R073074,855.7,3600.0,0.0,E
B009,S001,饮用水,R073075,855.7,3600.0,0.0,E
B010,S001,饮用水,R073076,855.7,3600.0,0.0,E
B001,S001,医疗物资,R000438,13995.2,3600.0,10395.2,T
B002,S001,医疗物资,R000438,13995.2,3600.0,10395.2,T
B003,S001,饮用水,R000438,13995.2,3600.0,10395.2,T
B004,S001,饮用水,R000438,13995.2,3600.0,10395.2,T
B005,S001,饮用水,R000438,13995.2,3600.0,10395.2,T
B006,S001,饮用水,R000438,13995.2,3600.0,10395.2,T
B007,S001,饮用水,R000438,13995.2,3600.0,10395.2,T
B024,S003,医疗物资,R000543,18334.3,7200.0,11134.3,T
B025,S003,饮用水,R000543,18334.3,7200.0,11134.3,T
B026,S003,饮用水,R000543,18334.3,7200.0,11134.3,T
B027,S003,饮用水,R000543,18334.3,7200.0,11134.3,T
B028,S003,饮用水,R000543,18334.3,7200.0,11134.3,T
B031,S003,生活卫生用品,R000543,18334.3,14400.0,3934.3,T
B032,S004,医疗物资,R000575,9388.5,7200.0,2188.5,T
B033,S004,饮用水,R000575,9388.5,7200.0,2188.5,T
B034,S004,饮用水,R000575,9388.5,7200.0,2188.5,T
B035,S004,饮用水,R000575,9388.5,7200.0,2188.5,T
B036,S004,应急食品,R000575,9388.5,10800.0,0.0,T
B037,S004,生活卫生用品,R000575,9388.5,14400.0,0.0,T
B011,S001,应急食品,R007514,21381.1,7200.0,14181.1,T
B012,S001,应急食品,R007514,21381.1,7200.0,14181.1,T
B013,S001,应急食品,R007514,21381.1,7200.0,14181.1,T
B014,S001,生活卫生用品,R007514,21381.1,10800.0,10581.1,T
B015,S001,生活卫生用品,R007514,21381.1,10800.0,10581.1,T
B021,S002,应急食品,R007514,20624.5,7200.0,13424.5,T
B022,S002,应急食品,R007514,20624.5,7200.0,13424.5,T
B023,S002,生活卫生用品,R007514,20624.5,10800.0,9824.5,T
B016,S002,医疗物资,R051122,11840.9,3600.0,8240.9,T
B017,S002,饮用水,R051122,11840.9,3600.0,8240.9,T
B018,S002,饮用水,R051122,11840.9,3600.0,8240.9,T
B019,S002,饮用水,R051122,11840.9,3600.0,8240.9,T
B020,S002,饮用水,R051122,11840.9,3600.0,8240.9,T
B062,S009,应急食品,R051122,12201.2,14400.0,0.0,T
B029,S003,应急食品,R053046,7081.1,10800.0,0.0,T
B030,S003,应急食品,R053046,7081.1,10800.0,0.0,T
B044,S006,医疗物资,R053046,6189.4,3600.0,2589.4,T
B045,S006,饮用水,R053046,6189.4,3600.0,2589.4,T
B046,S006,饮用水,R053046,6189.4,3600.0,2589.4,T
B047,S006,饮用水,R053046,6189.4,3600.0,2589.4,T
B048,S006,应急食品,R053046,6189.4,7200.0,0.0,T
B049,S006,生活卫生用品,R053046,6189.4,10800.0,0.0,T
B038,S005,医疗物资,R063414,11422.6,10800.0,622.6,T
B039,S005,饮用水,R063414,11422.6,10800.0,622.6,T
B040,S005,饮用水,R063414,11422.6,10800.0,622.6,T
B041,S005,饮用水,R063414,11422.6,10800.0,622.6,T
B042,S005,应急食品,R063414,11422.6,14400.0,0.0,T
B043,S005,生活卫生用品,R063414,11422.6,18000.0,0.0,T
B060,S009,医疗物资,R063414,11873.5,10800.0,1073.5,T
B061,S009,饮用水,R063414,11873.5,10800.0,1073.5,T
B050,S007,医疗物资,R070770,3785.0,3600.0,185.0,T
B051,S007,饮用水,R070770,3785.0,3600.0,185.0,T
B052,S007,饮用水,R070770,3785.0,3600.0,185.0,T
B053,S007,应急食品,R070770,3785.0,7200.0,0.0,T
B054,S007,生活卫生用品,R070770,3785.0,10800.0,0.0,T
B078,S015,医疗物资,R070770,4282.5,7200.0,0.0,T
B079,S015,饮用水,R070770,4282.5,10800.0,0.0,T
B080,S015,应急食品,R070770,4282.5,14400.0,0.0,T
B055,S008,医疗物资,R071208,16167.7,7200.0,8967.7,T
B056,S008,饮用水,R071208,16167.7,7200.0,8967.7,T
B057,S008,饮用水,R071208,16167.7,7200.0,8967.7,T
B058,S008,应急食品,R071208,16167.7,10800.0,5367.7,T
B059,S008,生活卫生用品,R071208,16167.7,14400.0,1767.7,T
B066,S011,医疗物资,R071208,15372.5,10800.0,4572.5,T
B067,S011,饮用水,R071208,15372.5,10800.0,4572.5,T
B068,S011,应急食品,R071208,15372.5,14400.0,972.5,T
B063,S010,医疗物资,R072343,8422.1,3600.0,4822.1,T
B064,S010,饮用水,R072343,8422.1,3600.0,4822.1,T
B065,S010,应急食品,R072343,8422.1,7200.0,1222.1,T
B075,S014,医疗物资,R072343,8941.3,3600.0,5341.3,T
B076,S014,饮用水,R072343,8941.3,3600.0,5341.3,T
B077,S014,应急食品,R072343,8941.3,7200.0,1741.3,T
B069,S012,医疗物资,R072839,1410.1,3600.0,0.0,T
B070,S012,饮用水,R072839,1410.1,3600.0,0.0,T
B071,S012,应急食品,R072839,1410.1,7200.0,0.0,T
B072,S013,医疗物资,R072839,1981.1,3600.0,0.0,T
B073,S013,饮用水,R072839,1981.1,3600.0,0.0,T
B074,S013,应急食品,R072839,1981.1,7200.0,0.0,T
B008,S001,饮用水,R073074,855.7,3600.0,0.0,T
B009,S001,饮用水,R073075,855.7,3600.0,0.0,T
B010,S001,饮用水,R073076,855.7,3600.0,0.0,T
